%name       obsNum      type     dRa(mas)     dDe(mas)
1302-102        42      none       0.1445       0.2284
1349-439        74      none       0.0527      -0.0811
1430-178        23      none      -0.2540       0.2199
1549-790         7      none      -4.0612      -0.9784
1604-333        97      none      -0.0192      -0.0485
1657-261      1065    define      -0.0377       0.0192
1831-711        67    define       0.0025       0.1132
1925-610        67    define      -0.1401       0.0638
2054-377        17      none       0.0608      -0.0910
2245-328        97    define       0.0063      -0.1177
2325-150        45    define       0.2505       0.5253
2345-167        27      none      -0.0501      -0.0323
0507+179        98    define      -0.0660       0.0479
0743+259       847    define      -0.0148      -0.0094
1144+402       887    define      -0.0322       0.0343
0215+015       549    define      -0.0439      -0.1153
0723-008       175      none      -0.0704      -0.3326
0821+621        16      none      -0.0874       0.0334
1055+018       228      none      -0.0008       0.0106
    M104        12      none       0.2244      -0.2128
1342+662       298      none       0.0174       0.0433
1354+195        82      none      -0.0163       0.1608
   OQ172        21      none       0.0182       0.0454
1555+001       402    define       0.0240       0.0306
1705+018       458    define      -0.0010      -0.0112
 3C390.3        19      none       0.4339      -0.0594
2355-106       990    define       0.0518      -0.0884
0110+495        77    define       0.0052       0.0039
0600+177        79      none      -0.0102      -0.0307
1451-375       486      none      -0.2877      -0.2086
0135-247        41      none      -0.0168      -0.0213
0138-097       110      none      -0.0213      -0.0952
0220-349        56      none      -0.0070       0.0296
0332-403      1090    define       0.0021      -0.0650
0400-319       148    define      -0.0331      -0.0063
0405-123        38      none      -0.0009       0.0318
0528-250        61      none       0.0068       0.0347
0629-418        17      none       0.2918      -0.1977
1011+250        22      none      -0.0217      -0.0489
1143-245        57    define       0.0608      -0.0350
1420+326        10      none      -0.0345       0.1734
1435-218        50    define      -0.0337      -0.0506
1511-100       105      none      -0.0541       0.0173
2000-330        28      none       0.0084      -0.0162
2037-253        59    define      -0.0461      -0.0692
2155-304        78    define       0.0551       0.0528
0017+257         5      none      -0.0385      -0.1792
   OB338         5      none       0.3406       0.5583
0026+346        12      none      -1.3350      -0.1756
0032+276         4      none       0.0644      -0.0294
 NGC0262        32    define       0.0482       0.0590
 NGC0315        26      none      -0.1346       0.0083
0103+337         5      none      -0.0464      -0.1486
0103+253         5      none       0.0550       0.0255
0105+259         5      none       0.4029      -0.3857
0110+318         5      none       0.0358      -0.1365
0116+319         5      none       2.0009      -0.0386
0119+247         6      none       0.0547      -0.0467
0120+259         5      none      -0.0630      -0.0752
0122+278         5      none       0.0609      -0.2138
0123+257        35      none      -0.0054      -0.0903
0134+311       435      none       0.0232      -0.0661
0148+274        19      none      -0.0271      -0.0363
0149+335         5      none       0.0661      -0.0520
0200+304         5      none       5.2366       1.8065
0202+319      1086    define       0.0195      -0.0317
0204+316         5      none       0.1955      -0.1179
0206+293         5      none      -0.3951      -0.4910
0217+324         5      none       0.2730       0.0298
0223+341         6      none       0.3029      -0.0935
0229+262         5      none       0.1465      -0.0305
0301+336         5      none       0.2798      -0.3803
0321+340         5      none      -0.1166      -0.1141
0326+349         5      none      -0.0198      -0.1105
0326+278         9      none      -0.0038      -0.1476
0337+337         5      none       0.0471       0.0431
0353+289         5      none       0.1074       0.0776
0356+322         5      none      -0.0324      -0.0725
0411+341         5      none      -0.6198      -0.7107
0424+328         5      none      -0.0117      -0.1208
0426+273        95      none       0.0160      -0.0651
0432+254         6      none      -0.0207       0.0380
0434+299         5      none      -0.2669      -0.0819
0436+306         5      none      -0.2169      -0.0013
0437+273         6      none      -0.0279      -0.0675
0440+345        82      none      -0.0170       0.0057
0456+310         5      none      -0.2344      -0.0389
0500+339         5      none       0.1295       0.1728
0514+330         4      none       0.0492       0.1070
0537+251         6      none       0.0543      -0.1720
0600+299         5      none       0.0741      -0.3227
0629+320         5      none      -0.1445       0.0526
0643+307         5      none      -0.0157      -0.0514
0659+268         6      none       0.1039      -0.2478
0729+259       122      none      -0.0493       0.0072
0733+300         5      none      -0.0129      -0.2331
0733+261         8      none      -0.1489       0.0584
0738+272         5      none       0.0125      -0.0455
0742+318         5      none      -0.0408      -0.1801
0743+277       347    define      -0.0246      -0.0170
0748+333         5      none      -0.2057      -0.2121
0759+252        10      none       0.0932      -0.0752
0805+269         6      none       0.1265      -0.0395
0810+258         7      none       0.0634       0.0035
0814+326         5      none       0.0856      -0.2373
0815+326         5      none      -0.0211      -0.3414
0820+296         5      none      -0.0194      -0.0617
0827+243       331      none       0.0052      -0.0221
0833+276         5      none      -0.1027       0.0133
0834+250        64    define       0.0627      -0.0092
